CUST_NAME,AGE,GENDER,RACE,STATE,MONTHLY_INCOME,ONLINE_CUST
Cust92,61,[1]Female,[2]Chinese,PERAK,8710,0
Cust93,61,[2]Male,[2]Chinese,KEDAH,6490,0
Cust94,61,[2]Male,[2]Chinese,KUALA LUMPUR,9790,0
Cust95,61,[2]Male,[2]Chinese,PULAU PINANG,16670,0
Cust96,61,[2]Male,[1]Bumiputra,SELANGOR,3830,0
Cust97,61,[1]Female,[2]Chinese,KUALA LUMPUR,3330,0
Cust98,61,[2]Male,[2]Chinese,PULAU PINANG,3330,0
Cust99,61,[2]Male,[2]Chinese,JOHOR,2500,0
Cust100,58,[2]Male,[2]Chinese,PULAU PINANG,3520,0
Cust101,58,[2]Male,[3]Indian,PULAU PINANG,3330,0
Cust102,60,[1]Female,[2]Chinese,KUALA LUMPUR,8560,0
Cust103,60,[2]Male,[2]Chinese,KUALA LUMPUR,10000,0
Cust104,60,[1]Female,[1]Bumiputra,PERAK,2470,0
Cust105,60,[1]Female,[2]Chinese,KEDAH,2970,0
Cust106,60,[1]Female,[1]Bumiputra,NEGERI SEMBILAN,3080,0
Cust107,60,[2]Male,[2]Chinese,JOHOR,6830,0
Cust108,60,[1]Female,[2]Chinese,PULAU PINANG,4540,0
Cust109,60,[1]Female,[2]Chinese,SELANGOR,8590,0
Cust110,60,[2]Male,[2]Chinese,PERAK,6210,0
Cust111,60,[1]Female,[2]Chinese,KELANTAN,3000,0
Cust112,60,[2]Male,[1]Bumiputra,PERAK,4630,0
Cust113,60,[2]Male,[1]Bumiputra,PERAK,3160,0
Cust114,60,[2]Male,[2]Chinese,SELANGOR,9410,0
Cust115,60,[2]Male,[2]Chinese,KELANTAN,6060,0
Cust116,60,[1]Female,[1]Bumiputra,SELANGOR,3090,0
Cust117,60,[1]Female,[2]Chinese,SELANGOR,12060,0
Cust118,60,[1]Female,[2]Chinese,PULAU PINANG,2670,0
Cust119,60,[1]Female,[1]Bumiputra,SELANGOR,2690,0
Cust120,60,[2]Male,[2]Chinese,SELANGOR,7120,0
Cust121,59,[1]Female,[2]Chinese,PULAU PINANG,8330,0
Cust122,59,[1]Female,[2]Chinese,PULAU PINANG,3070,0
Cust123,59,[2]Male,[3]Indian,SELANGOR,6190,0
Cust124,59,[1]Female,[3]Indian,SELANGOR,2600,0
Cust125,59,[1]Female,[2]Chinese,SELANGOR,2000,0
Cust126,59,[2]Male,[2]Chinese,KEDAH,6300,0
Cust127,59,[1]Female,[2]Chinese,PERAK,7990,0
Cust128,59,[2]Male,[2]Chinese,PAHANG,14840,0
Cust129,59,[1]Female,[2]Chinese,KEDAH,3180,0
Cust130,59,[1]Female,[1]Bumiputra,SELANGOR,9320,0
Cust131,59,[2]Male,[3]Indian,JOHOR,4310,0
Cust132,59,[2]Male,[2]Chinese,KEDAH,3750,0
Cust133,58,[2]Male,[1]Bumiputra,KEDAH,3840,0
Cust134,58,[2]Male,[1]Bumiputra,KEDAH,3430,0
Cust135,58,[2]Male,[2]Chinese,SELANGOR,5000,0
Cust136,58,[1]Female,[2]Chinese,PULAU PINANG,11020,0
Cust137,58,[2]Male,[2]Chinese,SELANGOR,14190,0
Cust138,58,[1]Female,[1]Bumiputra,PULAU PINANG,3390,0
Cust139,58,[2]Male,[2]Chinese,PERAK,6010,0
Cust140,58,[2]Male,[2]Chinese,SELANGOR,15000,0
Cust141,58,[2]Male,[1]Bumiputra,SELANGOR,20000,0
Cust142,58,[2]Male,[2]Chinese,SELANGOR,7550,0
Cust143,58,[2]Male,[2]Chinese,KUALA LUMPUR,5600,0
Cust144,58,[1]Female,[1]Bumiputra,SELANGOR,2720,0
Cust145,58,[1]Female,[1]Bumiputra,SELANGOR,2840,0
Cust146,58,[2]Male,[2]Chinese,SELANGOR,16670,0
Cust147,58,[2]Male,[1]Bumiputra,JOHOR,5440,0
Cust148,58,[2]Male,[2]Chinese,PERAK,13960,0
Cust149,58,[2]Male,[2]Chinese,MELAKA,2870,0
Cust150,58,[2]Male,[2]Chinese,SELANGOR,3870,0
Cust151,57,[1]Female,[3]Indian,NEGERI SEMBILAN,2170,0
Cust152,57,[2]Male,[2]Chinese,KUALA LUMPUR,7250,0
Cust153,57,[2]Male,[3]Indian,KUALA LUMPUR,12130,0
Cust154,57,[1]Female,[2]Chinese,JOHOR,4420,0
Cust155,57,[2]Male,[2]Chinese,KEDAH,11770,0
Cust156,57,[2]Male,[2]Chinese,SELANGOR,20330,0
Cust157,57,[2]Male,[1]Bumiputra,SELANGOR,5200,0
Cust158,57,[1]Female,[1]Bumiputra,PULAU PINANG,2590,0
Cust159,57,[2]Male,[2]Chinese,SELANGOR,9280,0
Cust160,57,[2]Male,[2]Chinese,JOHOR,8920,0
Cust161,57,[1]Female,[2]Chinese,SELANGOR,3130,0
Cust162,57,[2]Male,[2]Chinese,KEDAH,6280,0
Cust163,57,[2]Male,[2]Chinese,SELANGOR,19440,0
Cust164,57,[2]Male,[2]Chinese,SELANGOR,5490,0
Cust165,57,[2]Male,[2]Chinese,SELANGOR,3180,0
Cust166,57,[1]Female,[2]Chinese,NEGERI SEMBILAN,3220,0
Cust167,57,[2]Male,[2]Chinese,NEGERI SEMBILAN,8330,0
Cust168,57,[1]Female,[2]Chinese,KUALA LUMPUR,6830,0
Cust169,57,[1]Female,[1]Bumiputra,JOHOR,2920,0
Cust170,57,[2]Male,[2]Chinese,SELANGOR,10650,0
Cust171,56,[2]Male,[1]Bumiputra,KUALA LUMPUR,2650,0
Cust172,56,[2]Male,[1]Bumiputra,SELANGOR,6150,0
Cust173,56,[2]Male,[1]Bumiputra,SELANGOR,3750,0
Cust174,56,[2]Male,[2]Chinese,SELANGOR,15000,0
Cust175,56,[2]Male,[2]Chinese,SELANGOR,7500,0
Cust176,56,[2]Male,[1]Bumiputra,SELANGOR,14480,0
Cust177,56,[1]Female,[2]Chinese,KUALA LUMPUR,8640,0
Cust178,56,[1]Female,[1]Bumiputra,PULAU PINANG,1850,0
Cust179,56,[2]Male,[2]Chinese,SELANGOR,7110,0
Cust180,56,[2]Male,[1]Bumiputra,PERAK,3340,0
Cust181,56,[2]Male,[1]Bumiputra,SELANGOR,3260,0
Cust182,56,[2]Male,[2]Chinese,SELANGOR,11500,0
Cust183,56,[2]Male,[1]Bumiputra,PUTRAJAYA,5000,0
Cust184,56,[1]Female,[3]Indian,NEGERI SEMBILAN,6260,0
Cust185,56,[2]Male,[2]Chinese,PERAK,6170,0
Cust186,56,[2]Male,[1]Bumiputra,PERAK,4900,0
Cust187,56,[1]Female,[1]Bumiputra,MELAKA,5780,0
Cust188,56,[2]Male,[2]Chinese,SELANGOR,7820,0
Cust189,56,[2]Male,[2]Chinese,PULAU PINANG,10220,0
Cust190,56,[1]Female,[1]Bumiputra,PULAU PINANG,2880,0
Cust191,56,[2]Male,[2]Chinese,SELANGOR,8000,0
Cust192,56,[2]Male,[2]Chinese,PULAU PINANG,2680,0
Cust193,56,[2]Male,[4]Others,SELANGOR,10800,0
Cust194,56,[2]Male,[2]Chinese,SELANGOR,2730,0
Cust195,56,[2]Male,[1]Bumiputra,SELANGOR,8750,0
Cust196,56,[1]Female,[2]Chinese,MELAKA,11530,0
Cust197,56,[1]Female,[1]Bumiputra,SELANGOR,4870,0
Cust198,56,[1]Female,[2]Chinese,KUALA LUMPUR,2500,0
Cust199,56,[2]Male,[2]Chinese,PULAU PINANG,4470,0
Cust200,56,[2]Male,[2]Chinese,SELANGOR,7470,0
Cust201,56,[2]Male,[4]Others,PERAK,5850,0
Cust202,56,[2]Male,[1]Bumiputra,SELANGOR,4100,0
Cust203,56,[2]Male,[1]Bumiputra,NEGERI SEMBILAN,6470,0
Cust204,56,[1]Female,[1]Bumiputra,PERAK,3210,0
Cust205,55,[2]Male,[1]Bumiputra,MELAKA,4070,0
Cust206,55,[1]Female,[2]Chinese,PULAU PINANG,7890,0
Cust207,55,[2]Male,[1]Bumiputra,PULAU PINANG,7230,0
Cust208,55,[2]Male,[1]Bumiputra,KELANTAN,3920,0
Cust209,55,[2]Male,[2]Chinese,MELAKA,15000,0
Cust210,55,[2]Male,[1]Bumiputra,KEDAH,2240,0
Cust211,55,[2]Male,[2]Chinese,MELAKA,15000,0
Cust212,55,[1]Female,[2]Chinese,SELANGOR,3640,0
Cust213,55,[2]Male,[2]Chinese,PULAU PINANG,2000,0
Cust214,55,[2]Male,[2]Chinese,KUALA LUMPUR,26500,0
Cust215,55,[1]Female,[2]Chinese,PULAU PINANG,2080,0
Cust216,55,[2]Male,[2]Chinese,PULAU PINANG,11840,0
Cust217,55,[2]Male,[2]Chinese,KUALA LUMPUR,11720,0
Cust218,55,[2]Male,[1]Bumiputra,KEDAH,8580,0
Cust219,55,[2]Male,[2]Chinese,PULAU PINANG,4330,0
Cust220,55,[2]Male,[3]Indian,JOHOR,8330,0
Cust221,55,[1]Female,[2]Chinese,SARAWAK,10960,0
Cust222,55,[1]Female,[1]Bumiputra,SELANGOR,1980,0
Cust223,55,[1]Female,[1]Bumiputra,PULAU PINANG,4760,0
Cust224,55,[1]Female,[2]Chinese,KUALA LUMPUR,6280,0
Cust225,55,[1]Female,[2]Chinese,SELANGOR,8330,0
Cust226,55,[1]Female,[2]Chinese,SELANGOR,11490,0
Cust227,55,[2]Male,[3]Indian,SELANGOR,7110,0
Cust228,55,[1]Female,[2]Chinese,PULAU PINANG,7020,0
Cust229,55,[1]Female,[2]Chinese,PULAU PINANG,5970,0
Cust230,55,[2]Male,[2]Chinese,PULAU PINANG,10400,0
Cust231,55,[2]Male,[1]Bumiputra,JOHOR,7640,0
Cust232,55,[2]Male,[1]Bumiputra,KUALA LUMPUR,5180,0
Cust233,55,[2]Male,[2]Chinese,PULAU PINANG,10000,0
Cust234,55,[2]Male,[2]Chinese,SELANGOR,7060,0
Cust235,55,[2]Male,[1]Bumiputra,KUALA LUMPUR,2950,0
Cust236,55,[1]Female,[2]Chinese,NEGERI SEMBILAN,7930,0
Cust237,55,[2]Male,[2]Chinese,SELANGOR,2090,0
Cust238,55,[2]Male,[2]Chinese,MELAKA,2070,0
Cust239,55,[2]Male,[2]Chinese,JOHOR,8630,0
Cust240,55,[2]Male,[2]Chinese,SELANGOR,7700,0
Cust241,55,[2]Male,[4]Others,NEGERI SEMBILAN,16670,0
Cust242,55,[1]Female,[2]Chinese,SELANGOR,4860,0
Cust243,54,[2]Male,[1]Bumiputra,JOHOR,2010,0
Cust244,54,[1]Female,[1]Bumiputra,PULAU PINANG,3870,0
Cust245,54,[1]Female,[2]Chinese,NEGERI SEMBILAN,5980,0
Cust246,54,[2]Male,[1]Bumiputra,PERAK,8990,0
Cust247,54,[2]Male,[1]Bumiputra,SELANGOR,4330,0
Cust248,54,[2]Male,[2]Chinese,KEDAH,3520,0
Cust249,54,[1]Female,[1]Bumiputra,SELANGOR,5030,0
Cust250,54,[2]Male,[1]Bumiputra,JOHOR,4020,0
Cust251,54,[2]Male,[2]Chinese,KUALA LUMPUR,5450,0
Cust252,54,[2]Male,[2]Chinese,KUALA LUMPUR,10000,0
Cust253,54,[2]Male,[1]Bumiputra,JOHOR,13790,0
Cust254,54,[2]Male,[1]Bumiputra,NEGERI SEMBILAN,3110,0
Cust255,54,[2]Male,[1]Bumiputra,PULAU PINANG,2890,0
Cust256,54,[1]Female,[3]Indian,SELANGOR,2620,0
Cust257,54,[2]Male,[2]Chinese,SELANGOR,13270,0
Cust258,54,[2]Male,[1]Bumiputra,SELANGOR,3580,0
Cust259,54,[2]Male,[1]Bumiputra,PULAU PINANG,4290,0
Cust260,54,[1]Female,[3]Indian,SELANGOR,4000,0
Cust261,54,[2]Male,[2]Chinese,SELANGOR,3750,0
Cust262,54,[2]Male,[3]Indian,SELANGOR,2330,0
Cust263,54,[2]Male,[1]Bumiputra,PERAK,2610,0
Cust264,54,[1]Female,[2]Chinese,PERAK,3900,0
Cust265,54,[2]Male,[2]Chinese,PULAU PINANG,4460,0
Cust266,54,[2]Male,[1]Bumiputra,PULAU PINANG,10760,0
Cust267,54,[2]Male,[2]Chinese,PULAU PINANG,2040,0
Cust268,54,[2]Male,[3]Indian,JOHOR,3150,0
Cust269,54,[1]Female,[2]Chinese,KUALA LUMPUR,12730,0
Cust270,54,[1]Female,[2]Chinese,SELANGOR,2300,0
Cust271,54,[2]Male,[2]Chinese,PAHANG,13290,0
Cust272,54,[1]Female,[2]Chinese,PULAU PINANG,2490,0
Cust273,54,[2]Male,[2]Chinese,KUALA LUMPUR,8650,0
Cust274,54,[2]Male,[2]Chinese,SELANGOR,13300,0
Cust275,54,[1]Female,[3]Indian,PERAK,2830,0
Cust276,54,[2]Male,[2]Chinese,JOHOR,4570,0
Cust277,53,[2]Male,[2]Chinese,NEGERI SEMBILAN,12600,0
Cust278,53,[2]Male,[1]Bumiputra,PERAK,2410,0
Cust279,53,[2]Male,[2]Chinese,NEGERI SEMBILAN,4950,0
Cust280,53,[2]Male,[4]Others,PULAU PINANG,3600,0
Cust281,53,[1]Female,[1]Bumiputra,SELANGOR,2470,0
Cust282,53,[2]Male,[2]Chinese,KUALA LUMPUR,3090,0
Cust283,53,[1]Female,[2]Chinese,PULAU PINANG,7830,0
Cust284,53,[1]Female,[2]Chinese,PULAU PINANG,3170,0
Cust285,53,[2]Male,[1]Bumiputra,KUALA LUMPUR,14030,0
